date,team_1,team_2,result_1,result_2,map_winner,
2020-03-18,Recon 5,TeamOne,0,16,2,
2020-03-18,Recon 5,TeamOne,13,16,2,
2020-03-18,New England Whalers,Station7,12,16,2,
2020-03-18,Rugratz,Bad News Bears,7,16,2,
2020-03-18,Rugratz,Bad News Bears,8,16,2,
2020-03-17,Singularity,Endpoint,13,16,2,
2020-03-17,Singularity,Endpoint,11,16,2,
2020-03-17,Espada,Tricked,16,10,1,
2020-03-17,Espada,Tricked,16,10,1,
2020-03-17,fnatic,BIG,12,16,2,
2020-03-17,Sprout,Movistar Riders,16,10,1,
2020-03-17,Rooster,Skyfire,16,13,1,
2020-03-17,Rooster,Skyfire,16,1,1,
2020-03-17,Paradox,Airborne,19,16,1,
2020-03-17,Paradox,Airborne,9,16,2,
2020-03-17,Paradox,Airborne,10,16,2,
2020-03-17,Alcoholics Anonymous,Station7,5,16,2,
2020-03-17,New England Whalers,District 7,16,7,1,
2020-03-17,AGO,HellRaisers,16,5,1,
2020-03-17,AGO,HellRaisers,16,5,1,
2020-03-17,Sprout,Movistar Riders,16,7,1,
2020-03-17,fnatic,BIG,16,7,1,
2020-03-17,Natus Vincere,North,10,16,2,
2020-03-17,Natus Vincere,North,10,16,2,
2020-03-17,forZe,Complexity,9,16,2,
2020-03-17,forZe,Complexity,19,17,1,
2020-03-17,fnatic,BIG,7,16,2,
2020-03-17,forZe,Complexity,16,9,1,
2020-03-17,pro100,Japaleno,8,16,2,
2020-03-17,pro100,Japaleno,14,16,2,
2020-03-17,GamerLegion,Nordavind,16,9,1,
2020-03-17,GamerLegion,Nordavind,9,16,2,
2020-03-17,GamerLegion,Nordavind,14,16,2,
2020-03-16,District 7,Bad News Bears,7,16,2,
2020-03-16,Thunder Logic,TeamOne,5,16,2,
2020-03-16,Bad News Bears,Station7,16,8,1,
2020-03-16,Rugratz,New England Whalers,16,10,1,
2020-03-16,Recon 5,Oceanus,16,5,1,
2020-03-16,Chaos,In The Lab,16,1,1,
2020-03-16,Infinity,Thunder Logic,16,14,1,
2020-03-16,District 7,Rugratz,9,16,2,
2020-03-16,Under 21,TeamOne,12,16,2,
2020-03-16,Chaos,Monstars,16,12,1,
2020-03-16,Thunder Logic,New England Whalers,16,13,1,
2020-03-16,Singularity,Espada,16,11,1,
2020-03-16,Vitality,GODSENT,16,14,1,
2020-03-16,Vitality,GODSENT,16,8,1,
2020-03-16,Astralis,NiP,8,16,2,
2020-03-16,Thunder Logic,Under 21,11,16,2,
2020-03-16,Astralis,NiP,6,16,2,
2020-03-16,Singularity,Espada,11,16,2,
2020-03-16,Singularity,Espada,9,16,2,
2020-03-16,ENCE,Spirit,2,16,2,
2020-03-16,ENCE,Spirit,14,16,2,
2020-03-15,Big Frames,Chaos,13,16,2,
2020-03-15,Swole Identity,Mythic,9,16,2,
2020-03-15,I sleep,Airborne,10,16,2,
2020-03-15,I sleep,Airborne,9,16,2,
2020-03-15,Thunder Logic,Swole Identity,19,16,1,
2020-03-15,Chaos,Oceanus,16,8,1,
2020-03-15,TeamOne,Big Frames,16,5,1,
2020-03-15,Thunder Logic,In The Lab,16,14,1,
2020-03-15,I sleep,Incept,16,8,1,
2020-03-15,FunPlus Phoenix,Cloud9,20,22,2,
2020-03-15,Endpoint,Tricked,6,16,2,
2020-03-15,Endpoint,Tricked,14,16,2,
2020-03-15,Endpoint,Tricked,16,13,1,
2020-03-15,Orgless,Dignitas,12,16,2,
2020-03-15,Orgless,Dignitas,10,16,2,
2020-03-15,Orgless,Dignitas,16,8,1,
2020-03-15,FunPlus Phoenix,Cloud9,3,16,2,
2020-03-15,I sleep,Incept,16,6,1,
2020-03-15,FunPlus Phoenix,Cloud9,16,10,1,
2020-03-14,Bad News Bears,Under 21,18,22,2,
2020-03-14,ORDER,Paradox,16,19,2,
2020-03-14,ORDER,Paradox,16,6,1,
2020-03-14,ORDER,Paradox,16,4,1,
2020-03-14,EGOBOYZ,Infamous,16,9,1,
2020-03-14,Triumph,Chaos,16,8,1,
2020-03-14,Bad News Bears,Triumph,16,10,1,
