date,team_1,team_2,_map,result_1,result_2,map_winner,
2020-03-18,Recon 5,TeamOne,Dust2,0,16,2,
2020-03-18,Recon 5,TeamOne,Inferno,13,16,2,
2020-03-18,New England Whalers,Station7,Inferno,12,16,2,
2020-03-18,Rugratz,Bad News Bears,Inferno,7,16,2,
2020-03-18,Rugratz,Bad News Bears,Vertigo,8,16,2,
2020-03-17,Singularity,Endpoint,Overpass,13,16,2,
2020-03-17,Singularity,Endpoint,Vertigo,11,16,2,
2020-03-17,Espada,Tricked,Dust2,16,10,1,
2020-03-17,Espada,Tricked,Nuke,16,10,1,
2020-03-17,fnatic,BIG,Mirage,12,16,2,
2020-03-17,Sprout,Movistar Riders,Mirage,16,10,1,
2020-03-17,Rooster,Skyfire,Inferno,16,13,1,
2020-03-17,Rooster,Skyfire,Overpass,16,1,1,
2020-03-17,Paradox,Airborne,Nuke,19,16,1,
2020-03-17,Paradox,Airborne,Mirage,9,16,2,
2020-03-17,Paradox,Airborne,Inferno,10,16,2,
2020-03-17,Alcoholics Anonymous,Station7,Mirage,5,16,2,
2020-03-17,New England Whalers,District 7,Nuke,16,7,1,
2020-03-17,AGO,HellRaisers,Train,16,5,1,
2020-03-17,AGO,HellRaisers,Inferno,16,5,1,
2020-03-17,Sprout,Movistar Riders,Inferno,16,7,1,
2020-03-17,fnatic,BIG,Overpass,16,7,1,
2020-03-17,Natus Vincere,North,Nuke,10,16,2,
2020-03-17,Natus Vincere,North,Dust2,10,16,2,
2020-03-17,forZe,Complexity,Train,9,16,2,
2020-03-17,forZe,Complexity,Mirage,19,17,1,
2020-03-17,fnatic,BIG,Inferno,7,16,2,
2020-03-17,forZe,Complexity,Dust2,16,9,1,
2020-03-17,pro100,Japaleno,Inferno,8,16,2,
2020-03-17,pro100,Japaleno,Dust2,14,16,2,
2020-03-17,GamerLegion,Nordavind,Vertigo,16,9,1,
2020-03-17,GamerLegion,Nordavind,Mirage,9,16,2,
2020-03-17,GamerLegion,Nordavind,Nuke,14,16,2,
2020-03-16,District 7,Bad News Bears,Vertigo,7,16,2,
2020-03-16,Thunder Logic,TeamOne,Mirage,5,16,2,
2020-03-16,Bad News Bears,Station7,Inferno,16,8,1,
2020-03-16,Rugratz,New England Whalers,Mirage,16,10,1,
2020-03-16,Recon 5,Oceanus,Nuke,16,5,1,
2020-03-16,Chaos,In The Lab,Dust2,16,1,1,
2020-03-16,Infinity,Thunder Logic,Dust2,16,14,1,
2020-03-16,District 7,Rugratz,Mirage,9,16,2,
2020-03-16,Under 21,TeamOne,Nuke,12,16,2,
2020-03-16,Chaos,Monstars,Inferno,16,12,1,
2020-03-16,Thunder Logic,New England Whalers,Nuke,16,13,1,
2020-03-16,Singularity,Espada,Nuke,16,11,1,
2020-03-16,Vitality,GODSENT,Vertigo,16,14,1,
2020-03-16,Vitality,GODSENT,Nuke,16,8,1,
2020-03-16,Astralis,NiP,Overpass,8,16,2,
2020-03-16,Thunder Logic,Under 21,Nuke,11,16,2,
2020-03-16,Astralis,NiP,Vertigo,6,16,2,
2020-03-16,Singularity,Espada,Mirage,11,16,2,
2020-03-16,Singularity,Espada,Dust2,9,16,2,
2020-03-16,ENCE,Spirit,Inferno,2,16,2,
2020-03-16,ENCE,Spirit,Train,14,16,2,
2020-03-15,Big Frames,Chaos,Overpass,13,16,2,
2020-03-15,Swole Identity,Mythic,Dust2,9,16,2,
2020-03-15,I sleep,Airborne,Nuke,10,16,2,
2020-03-15,I sleep,Airborne,Overpass,9,16,2,
2020-03-15,Thunder Logic,Swole Identity,Overpass,19,16,1,
2020-03-15,Chaos,Oceanus,Dust2,16,8,1,
2020-03-15,TeamOne,Big Frames,Nuke,16,5,1,
2020-03-15,Thunder Logic,In The Lab,Mirage,16,14,1,
2020-03-15,I sleep,Incept,Vertigo,16,8,1,
2020-03-15,FunPlus Phoenix,Cloud9,Train,20,22,2,
2020-03-15,Endpoint,Tricked,Mirage,6,16,2,
2020-03-15,Endpoint,Tricked,Train,14,16,2,
2020-03-15,Endpoint,Tricked,Dust2,16,13,1,
2020-03-15,Orgless,Dignitas,Inferno,12,16,2,
2020-03-15,Orgless,Dignitas,Nuke,10,16,2,
2020-03-15,Orgless,Dignitas,Train,16,8,1,
2020-03-15,FunPlus Phoenix,Cloud9,Inferno,3,16,2,
2020-03-15,I sleep,Incept,Dust2,16,6,1,
2020-03-15,FunPlus Phoenix,Cloud9,Nuke,16,10,1,
2020-03-14,Bad News Bears,Under 21,Dust2,18,22,2,
2020-03-14,ORDER,Paradox,Inferno,16,19,2,
2020-03-14,ORDER,Paradox,Vertigo,16,6,1,
2020-03-14,ORDER,Paradox,Mirage,16,4,1,
2020-03-14,EGOBOYZ,Infamous,Inferno,16,9,1,
2020-03-14,Triumph,Chaos,Nuke,16,8,1,
2020-03-14,Bad News Bears,Triumph,Inferno,16,10,1,
2020-03-14,Chaos,TeamOne,Inferno,16,3,1,
2020-03-14,TeamOne,Rugratz,Overpass,11,16,2,
2020-03-14,EGOBOYZ,Infamous,Overpass,8,16,2,
2020-03-14,Imperial,Reapers,Mirage,16,11,1,
2020-03-14,EGOBOYZ,Infamous,Mirage,18,22,2,
2020-03-14,Imperial,Reapers,Train,16,10,1,
2020-03-14,Supremacy,Infamous,Mirage,16,12,1,
2020-03-14,Chaos,MIBR,Train,16,6,1,
2020-03-14,Mythic,Station7,Dust2,14,16,2,
2020-03-14,Chaos,MIBR,Nuke,16,14,1,
2020-03-14,Gen.G,Envy,Train,19,17,1,
2020-03-14,Gen.G,Envy,Inferno,13,16,2,
2020-03-14,Gen.G,Envy,Mirage,16,9,1,
2020-03-14,Supremacy,Infamous,Dust2,16,1,1,
2020-03-13,Bad News Bears,Oceanus,Mirage,16,4,1,
2020-03-13,District 7,Divine,Mirage,22,20,1,
2020-03-13,Swole Patrol,Under 21,Nuke,16,8,1,
2020-03-13,Swole Identity,Big Frames,Inferno,25,22,1,
2020-03-13,TeamOne,Mythic,Overpass,4,16,2,
2020-03-13,Thunder Logic,Rugratz,Mirage,11,16,2,
2020-03-13,Triumph,In The Lab,Inferno,16,7,1,
2020-03-13,Swole Identity,Bad News Bears,Dust2,9,16,2,
2020-03-13,Under 21,Mythic,Mirage,22,19,1,
2020-03-13,Divine,Station7,Mirage,13,16,2,
2020-03-13,Chaos,New England Whalers,Nuke,16,10,1,
2020-03-13,District 7,Swole Patrol,Nuke,12,16,2,
2020-03-13,Divine,Big Frames,Overpass,16,11,1,
2020-03-13,Triumph,Monstars,Overpass,16,4,1,
2020-03-13,Chaos,Thunder Logic,Nuke,16,12,1,
2020-03-13,Reapers,Neverest,Vertigo,17,19,2,
2020-03-13,New England Whalers,TeamOne,Nuke,16,12,1,
2020-03-13,MAD Lions,HAVU,Train,10,16,2,
2020-03-13,District 7,Mythic,Mirage,16,11,1,
2020-03-13,Reapers,Neverest,Mirage,16,10,1,
2020-03-13,Reapers,Neverest,Inferno,16,10,1,
2020-03-13,Copenhagen Flames,c0ntact,Nuke,16,19,2,
2020-03-13,MAD Lions,HAVU,Nuke,13,16,2,
2020-03-13,MAD Lions,HAVU,Mirage,16,12,1,
2020-03-13,Copenhagen Flames,c0ntact,Mirage,5,16,2,
2020-03-13,pro100,Sprout,Train,16,12,1,
2020-03-13,Spirit,Demolition Crew,Nuke,16,9,1,
2020-03-13,Singularity,Unicorns of Love,Nuke,16,7,1,
2020-03-13,Spirit,pro100,Mirage,16,8,1,
2020-03-13,TeamOne,In The Lab,Dust2,16,5,1,
2020-03-13,Oceanus,Swole Patrol,Nuke,10,16,2,
2020-03-12,Station7,Big Frames,Overpass,3,16,2,
2020-03-12,Bad News Bears,New England Whalers,Inferno,13,16,2,
2020-03-12,District 7,Chaos,Mirage,13,16,2,
2020-03-12,Triumph,Under 21,Inferno,11,16,2,
2020-03-12,Soberano,Bravos,Nuke,16,9,1,
2020-03-12,Soberano,Bravos,Dust2,22,20,1,
2020-03-12,Mythic,Recon 5,Vertigo,14,16,2,
2020-03-12,Oceanus,TeamOne,Dust2,9,16,2,
2020-03-12,Chaos,Infinity,Dust2,16,8,1,
2020-03-12,Chaos,Swole Identity,Dust2,14,16,2,
2020-03-12,Rugratz,Divine,Mirage,16,14,1,
2020-03-12,Bad News Bears,TeamOne,Nuke,12,16,2,
2020-03-12,In The Lab,Infinity,Mirage,13,16,2,
2020-03-12,Triumph,Swole Patrol,Vertigo,5,16,2,
2020-03-12,Swole Identity,Divine,Overpass,12,16,2,
2020-03-12,Under 21,Recon 5,Nuke,16,8,1,
2020-03-12,Swole Patrol,In The Lab,Overpass,16,3,1,
2020-03-12,Rugratz,Oceanus,Mirage,16,4,1,
2020-03-12,Divine,TeamOne,Dust2,14,16,2,
2020-03-12,In The Lab,Big Frames,Mirage,16,10,1,
2020-03-12,District 7,Thunder Logic,Mirage,16,14,1,
2020-03-12,Rooster,Paradox,Mirage,16,9,1,
2020-03-12,Illuminar,Spirit,Train,10,16,2,
2020-03-12,New England Whalers,Station7,Inferno,16,11,1,
2020-03-12,Japaleno,BIG,Inferno,11,16,2,
2020-03-12,PACT,pro100,Inferno,11,16,2,
2020-03-12,Spirit,Nemiga,Inferno,8,16,2,
2020-03-12,Sprout,Nordavind,Dust2,14,16,2,
2020-03-12,Unicorns of Love,HellRaisers,Dust2,6,16,2,
2020-03-12,Spirit,Nordavind,Inferno,16,5,1,
2020-03-12,HellRaisers,Wisla Krakow,Dust2,16,12,1,
2020-03-12,HellRaisers,Singularity,Dust2,16,12,1,
2020-03-12,Rooster,Paradox,Train,11,16,2,
2020-03-12,VERTEX,I sleep,Inferno,16,6,1,
2020-03-12,Rooster,Paradox,Inferno,16,13,1,
2020-03-12,Incept,Paradox,Dust2,7,16,2,
2020-03-12,VERTEX,I sleep,Dust2,16,2,1,
2020-03-12,Rooster,TRIDENT,Mirage,16,9,1,
2020-03-12,Chiefs,Skyfire,Inferno,22,20,1,
2020-03-12,ORDER,Ground Zero,Inferno,16,14,1,
2020-03-12,Ground Zero,Skyfire,Mirage,12,16,2,
2020-03-11,Bad News Bears,Monstars,Inferno,13,16,2,
2020-03-11,Chiefs,Paradox,Dust2,13,16,2,
2020-03-11,I sleep,Esper,Inferno,16,7,1,
2020-03-11,PC419,Formidable,Nuke,16,8,1,
2020-03-11,TeamOne,Recon 5,Nuke,16,11,1,
2020-03-11,LiViD,TeamOne,Nuke,12,16,2,
2020-03-11,Under 21,New England Whalers,Nuke,12,16,2,
